run_name,run_dir,run_id,optimizer,optimizer_name,lr,weight_decay,betas,scheduler,scheduler_type,best_cer,final_cer,avg_cer,cer_improvement,cer_improvement_pct,avg_train_loss,final_train_loss,avg_test_loss,final_test_loss,total_time_seconds,optimizer_category,is_adaptive,rank
Prodigy_d01e-06_onecycle_run22,/home/iseanbhanot/optimizer_sweep_results/Prodigy_d01e-06_onecycle_run22,22,Prodigy,Prodigy_d01e-06,1.0,0.0001,"[0.9, 0.999]",onecycle,OneCycleLR,0.20333457141678016,0.20333457141678016,0.33813874788494075,0.7007552309025629,77.50947185831014,1.1310380637407302,0.5004744529724121,1.3471211194992065,0.7257017493247986,143.42724442481995,Novel,True,1
Prodigy_d01e-05_exponential_run26,/home/iseanbhanot/optimizer_sweep_results/Prodigy_d01e-05_exponential_run26,26,Prodigy,Prodigy_d01e-05,1.0,0.0001,"[0.9, 0.999]",exponential,ExponentialLR,0.21113449713177335,0.21113449713177335,0.3048937311708142,0.6636952663942883,75.86564770261346,0.9041764226555824,0.49094709753990173,1.2353334426879883,0.7908209562301636,143.5181384086609,Novel,True,2
Lion_lr0.0001_wd1e-4_onecycle_run10,/home/iseanbhanot/optimizer_sweep_results/Lion_lr0.0001_wd1e-4_onecycle_run10,10,Lion,Lion_lr0.0001_wd1e-4,0.0001,0.0001,"[0.9, 0.99]",onecycle,OneCycleLR,0.21150592216582065,0.21150592216582065,0.36543766249845233,0.6858156906442161,76.42919560318263,1.1936238510012627,0.5028177499771118,1.4990671873092651,0.7876625061035156,139.711088180542,Novel,True,3
Lion_lr0.0001_wd1e-4_cosine_run9,/home/iseanbhanot/optimizer_sweep_results/Lion_lr0.0001_wd1e-4_cosine_run9,9,Lion,Lion_lr0.0001_wd1e-4,0.0001,0.0001,"[0.9, 0.99]",cosine,CosineAnnealingLR,0.21431224464528909,0.21455986133465396,0.30455532169534894,0.7135487598530807,76.8820312152608,0.8614512491703034,0.472971647977829,1.2159039974212646,0.7911786437034607,137.93733644485474,Novel,True,4
Prodigy_d01e-05_cosine_run24,/home/iseanbhanot/optimizer_sweep_results/Prodigy_d01e-05_cosine_run24,24,Prodigy,Prodigy_d01e-05,1.0,0.0001,"[0.9, 0.999]",cosine,CosineAnnealingLR,0.21435351409351658,0.21435351409351658,0.30229540671041233,0.6604762494325451,75.49768846117558,0.913038097512722,0.5741597414016724,1.2142772674560547,0.759194552898407,142.84250831604004,Novel,True,5
AdamW_lr0.001_wd1e-05_onecycle_run1,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr0.001_wd1e-05_onecycle_run1,1,AdamW,AdamW_lr0.001_wd1e-05,0.001,1e-05,"[0.9, 0.999]",onecycle,OneCycleLR,0.22450579835747597,0.22450579835747597,inf,0.0,0.0,inf,inf,inf,inf,0.0,Adam-family,False,6
Prodigy_d01e-06_exponential_run23,/home/iseanbhanot/optimizer_sweep_results/Prodigy_d01e-06_exponential_run23,23,Prodigy,Prodigy_d01e-06,1.0,0.0001,"[0.9, 0.999]",exponential,ExponentialLR,0.22524864842557055,0.2257026123560728,0.3286022037885354,0.6737237423135652,74.90593741396715,1.031140685582161,0.5449159741401672,1.317063570022583,0.8188495635986328,141.80735564231873,Novel,True,7
AdamW_lr0.001_wd0.0001_onecycle_run4,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr0.001_wd0.0001_onecycle_run4,4,AdamW,AdamW_lr0.001_wd0.0001,0.001,0.0001,"[0.9, 0.999]",onecycle,OneCycleLR,0.22607403739012008,0.22607403739012008,inf,0.0,0.0,inf,inf,inf,inf,0.0,Adam-family,False,8
AdamW_lr1e-3_b20.99_onecycle_run7,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr1e-3_b20.99_onecycle_run7,7,AdamW,AdamW_lr1e-3_b20.99,0.001,0.0001,"[0.9, 0.99]",onecycle,OneCycleLR,0.2282613181461764,0.22871528207667863,0.3531179068135859,0.6521398208905946,74.03485757121439,1.106291525411606,0.6045395135879517,1.399175763130188,0.8203811645507812,138.3568422794342,Adam-family,False,9
AdamW_lr0.001_wd1e-4_onecycle_run1,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr0.001_wd1e-4_onecycle_run1,1,AdamW,AdamW_lr0.001_wd1e-4,0.001,0.0001,"[0.9, 0.999]",onecycle,OneCycleLR,0.2293343238000908,0.2293343238000908,0.3570170442821179,0.6515207791671825,73.96458020989506,1.121460953271389,0.6036090850830078,1.4133563041687012,0.8239826560020447,139.45928311347961,Adam-family,False,10
Prodigy_d01e-06_cosine_run21,/home/iseanbhanot/optimizer_sweep_results/Prodigy_d01e-06_cosine_run21,21,Prodigy,Prodigy_d01e-06,1.0,0.0001,"[0.9, 0.999]",cosine,CosineAnnealingLR,0.23486442986257275,0.23486442986257275,0.33887169328546074,0.6645619248070653,73.88730843351381,1.0956356973648071,0.6880483031272888,1.3425065279006958,0.8326112627983093,142.63451218605042,Novel,True,11
Lion_lr0.0001_wd1e-4_exponential_run11,/home/iseanbhanot/optimizer_sweep_results/Lion_lr0.0001_wd1e-4_exponential_run11,11,Lion,Lion_lr0.0001_wd1e-4,0.0001,0.0001,"[0.9, 0.99]",exponential,ExponentialLR,0.23701044117040154,0.23981676364987,0.3165152077916718,0.6882918575378647,74.16070078705145,0.9224836438536644,0.5668202638626099,1.263697624206543,0.8920714259147644,137.64670133590698,Novel,True,12
Lion_lr0.0003_wd1e-4_onecycle_run13,/home/iseanbhanot/optimizer_sweep_results/Lion_lr0.0003_wd1e-4_onecycle_run13,13,Lion,Lion_lr0.0003_wd1e-4,0.0003,0.0001,"[0.9, 0.99]",onecycle,OneCycleLR,0.29173372952003634,0.29173372952003634,0.3895324171515827,0.5883785233791423,66.85266810466096,1.3020146300315858,0.8691929578781128,1.5358210802078247,1.048382043838501,138.53731966018677,Novel,True,13
AdamW_lr0.002_wd1e-4_onecycle_run4,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr0.002_wd1e-4_onecycle_run4,4,AdamW,AdamW_lr0.002_wd1e-4,0.002,0.0001,"[0.9, 0.999]",onecycle,OneCycleLR,0.3328793694028311,0.3328793694028311,0.4219322355660104,0.5856960092443564,63.76134423578039,1.4699918635845184,1.1117663383483887,1.6383123397827148,1.157753348350525,138.04027032852173,Adam-family,False,14
AdamW_lr0.002_wd0.0001_onecycle_run10,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr0.002_wd0.0001_onecycle_run10,10,AdamW,AdamW_lr0.002_wd0.0001,0.002,0.0001,"[0.9, 0.999]",onecycle,OneCycleLR,0.35537121868680616,0.37113614790970245,inf,0.0,0.0,inf,inf,inf,inf,0.0,Adam-family,False,15
AdamW_lr0.002_wd1e-05_onecycle_run7,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr0.002_wd1e-05_onecycle_run7,7,AdamW,AdamW_lr0.002_wd1e-05,0.002,1e-05,"[0.9, 0.999]",onecycle,OneCycleLR,0.3599521274400561,0.3679584003961867,inf,0.0,0.0,inf,inf,inf,inf,0.0,Adam-family,False,16
Lion_lr0.0003_wd1e-4_cosine_run12,/home/iseanbhanot/optimizer_sweep_results/Lion_lr0.0003_wd1e-4_cosine_run12,12,Lion,Lion_lr0.0003_wd1e-4,0.0003,0.0001,"[0.9, 0.99]",cosine,CosineAnnealingLR,0.36915521439478355,0.37002187280756055,0.4432866988568363,0.5790516280797326,61.0123059529504,1.5396946641921998,1.3321157693862915,1.6510109901428223,1.2903553247451782,135.03011298179626,Novel,True,17
Lion_lr0.0003_wd1e-4_exponential_run14,/home/iseanbhanot/optimizer_sweep_results/Lion_lr0.0003_wd1e-4_exponential_run14,14,Lion,Lion_lr0.0003_wd1e-4,0.0003,0.0001,"[0.9, 0.99]",exponential,ExponentialLR,0.4328339730097809,0.4530560026412447,0.475336552350295,0.49601749824604846,52.2633386963517,1.6927774646282197,1.6135623455047607,1.772718071937561,1.6363084316253662,132.2966377735138,Novel,True,18
AdamW_lr0.001_wd1e-05_exponential_run2,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr0.001_wd1e-05_exponential_run2,2,AdamW,AdamW_lr0.001_wd1e-05,0.001,1e-05,"[0.9, 0.999]",exponential,ExponentialLR,0.5182617308406586,0.5191283892534356,inf,0.0,0.0,inf,inf,inf,inf,0.0,Adam-family,False,19
AdamW_lr0.001_wd0.0001_exponential_run5,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr0.001_wd0.0001_exponential_run5,5,AdamW,AdamW_lr0.001_wd0.0001,0.001,0.0001,"[0.9, 0.999]",exponential,ExponentialLR,0.5251124592464199,0.5251124592464199,inf,0.0,0.0,inf,inf,inf,inf,0.0,Adam-family,False,20
AdamW_lr1e-3_b20.99_exponential_run8,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr1e-3_b20.99_exponential_run8,8,AdamW,AdamW_lr1e-3_b20.99,0.001,0.0001,"[0.9, 0.99]",exponential,ExponentialLR,0.5546613841772936,0.5546613841772936,0.6560505138046304,0.40047872559943865,41.92879363982025,2.429413167333603,1.978086233139038,2.4512758255004883,1.9587517976760864,137.7594120502472,Adam-family,False,21
AdamW_lr0.001_wd1e-05_cosine_run0,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr0.001_wd1e-05_cosine_run0,0,AdamW,AdamW_lr0.001_wd1e-05,0.001,1e-05,"[0.9, 0.999]",cosine,CosineAnnealingLR,0.5817341422145186,0.5821468366967933,inf,0.0,0.0,inf,inf,inf,inf,0.0,Adam-family,False,22
AdamW_lr0.001_wd0.0001_cosine_run3,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr0.001_wd0.0001_cosine_run3,3,AdamW,AdamW_lr0.001_wd0.0001,0.001,0.0001,"[0.9, 0.999]",cosine,CosineAnnealingLR,0.5889150262060996,0.5892451817919194,inf,0.0,0.0,inf,inf,inf,inf,0.0,Adam-family,False,23
AdamW_lr0.002_wd0.0001_exponential_run11,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr0.002_wd0.0001_exponential_run11,11,AdamW,AdamW_lr0.002_wd0.0001,0.002,0.0001,"[0.9, 0.999]",exponential,ExponentialLR,0.5906070735834262,0.5995212744005612,inf,0.0,0.0,inf,inf,inf,inf,0.0,Adam-family,False,24
AdamW_lr0.002_wd1e-4_exponential_run5,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr0.002_wd1e-4_exponential_run5,5,AdamW,AdamW_lr0.002_wd1e-4,0.002,0.0001,"[0.9, 0.999]",exponential,ExponentialLR,0.6380256695967975,0.6478477982749371,0.6977656720729644,0.3100986339812636,32.37118731690504,2.5866864003181456,2.3013205528259277,2.5874602794647217,2.309701681137085,132.0612506866455,Adam-family,False,25
AdamW_lr0.002_wd1e-05_cosine_run6,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr0.002_wd1e-05_cosine_run6,6,AdamW,AdamW_lr0.002_wd1e-05,0.002,1e-05,"[0.9, 0.999]",cosine,CosineAnnealingLR,0.6534191737856465,0.6535017126821014,inf,0.0,0.0,inf,inf,inf,inf,0.0,Adam-family,False,26
AdamW_lr0.002_wd1e-4_cosine_run3,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr0.002_wd1e-4_cosine_run3,3,AdamW,AdamW_lr0.002_wd1e-4,0.002,0.0001,"[0.9, 0.999]",cosine,CosineAnnealingLR,0.6582889686764888,0.6589905492963559,0.7128488300111426,0.29895588295984477,31.207995864208165,2.6690176666259764,2.4193828105926514,2.685335159301758,2.394561529159546,135.31306266784668,Adam-family,False,27
AdamW_lr0.002_wd1e-05_exponential_run8,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr0.002_wd1e-05_exponential_run8,8,AdamW,AdamW_lr0.002_wd1e-05,0.002,1e-05,"[0.9, 0.999]",exponential,ExponentialLR,0.6844537988527093,0.6844537988527093,inf,0.0,0.0,inf,inf,inf,inf,0.0,Adam-family,False,28
AdamW_lr0.001_wd1e-4_cosine_run0,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr0.001_wd1e-4_cosine_run0,0,AdamW,AdamW_lr0.001_wd1e-4,0.001,0.0001,"[0.9, 0.999]",cosine,CosineAnnealingLR,0.689529940984689,0.6975362139408197,0.7533754281705253,0.2576038958359126,26.970273072934663,2.8869512311935424,2.6151585578918457,2.886946439743042,2.5803072452545166,135.77210545539856,Adam-family,False,29
AdamW_lr1e-3_b20.99_cosine_run6,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr1e-3_b20.99_cosine_run6,6,AdamW,AdamW_lr1e-3_b20.99,0.001,0.0001,"[0.9, 0.99]",cosine,CosineAnnealingLR,0.6951425859436259,0.6951838553918535,0.7446906854855351,0.2599562543848788,27.216557207051494,2.8675872431755067,2.540041923522949,2.8728811740875244,2.57051682472229,135.67169666290283,Adam-family,False,30
AdamW_lr0.002_wd0.0001_cosine_run9,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr0.002_wd0.0001_cosine_run9,9,AdamW,AdamW_lr0.002_wd0.0001,0.002,0.0001,"[0.9, 0.999]",cosine,CosineAnnealingLR,0.7124344847509388,0.7137138376459907,inf,0.0,0.0,inf,inf,inf,inf,0.0,Adam-family,False,31
AdamW_lr0.001_wd1e-4_exponential_run2,/home/iseanbhanot/optimizer_sweep_results/AdamW_lr0.001_wd1e-4_exponential_run2,2,AdamW,AdamW_lr0.001_wd1e-4,0.001,0.0001,"[0.9, 0.999]",exponential,ExponentialLR,0.7269200610787834,0.7269200610787834,0.8213462094011803,0.22822004869794887,23.893881783615623,3.0631368949890136,2.717759132385254,3.068255662918091,2.72497296333313,136.2863256931305,Adam-family,False,32
